Nombre,Email,Promoción,Fecha_comienzo,Campus,Proyecto_HLF,Proyecto_EDA,Proyecto_BBDD,Proyecto_ML,Proyecto_Deployment,Vertical,Proyecto_WebDev,Proyecto_FrontEnd,Proyecto_Backend,Proyecto_React,ProyectoFullStack
Abraham Vélez,Abraham_Vélez@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,No Apto,Apto,Apto,Data Science,,,,,
Aitana Sebastián,Aitana_Sebastián@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,No Apto,Apto,No Apto,Apto
Albino Macias,Albino_Macias@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,Apto,Apto,Apto,Apto
Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,No Apto,No Apto,No Apto,Apto,Apto
Amor Larrañaga,Amor_Larrañaga@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,Apto,Apto,No Apto
Anita Heredia,Anita_Heredia@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Carlito Carrión,Carlito_Carrión@gmail.com,Febrero,12/02/2024,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Chita Mancebo,Chita_Mancebo@gmail.com,Febrero,12/02/2024,Madrid,No Apto,Apto,No Apto,Apto,Apto,Data Science,,,,,
Clementina Santos,Clementina_Santos@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Cleto Montes,Cleto_Montes@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,No Apto,Apto,Apto
Cleto Plana,Cleto_Plana@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,No Apto,Apto,No Apto,Apto
Cristian Sarabia,Cristian_Sarabia@gmail.com,Febrero,12/02/2024,Madrid,Apto,Apto,No Apto,Apto,Apto,Data Science,,,,,
Daniel Rosselló,Daniel_Rosselló@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,No Apto,No Apto,Apto,No Apto,No Apto
Daniela Falcó,Daniela_Falcó@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Daniela Guitart,Daniela_Guitart@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,No Apto,No Apto,Apto,Apto
Desiderio Jordá,Desiderio_Jordá@gmail.com,Febrero,12/02/2024,Madrid,No Apto,Apto,No Apto,No Apto,Apto,Data Science,,,,,
Dolores Valbuena,Dolores_Valbuena@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,Apto,Apto,No Apto
Eduardo Caparrós,Eduardo_Caparrós@gmail.com,Septiembre,18/09/2023,Madrid,No Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Eli Casas,Eli_Casas@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Ernesto Uriarte,Ernesto_Uriarte@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,Apto,Apto,Apto
Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,No Apto,No Apto,Apto
